title,info,duration,start
 Разработчик, Вы изучите фундаментальные знания в ИТ и прокачаетесь в направлении продакт-менеджмента. Получите востребованную профессию и возможность открыть бизнес в сфере информационных технологий, Срок обучения: 12 месяцев," Старт: 25 февраля,  каждые 2 недели"
 ИТ-Инженер," Это 12-месячная программа обучения, во время которой вы сделаете осознанный выбор специализации, получите базовые знания и прокачаетесь в них. Вы сможете освоить одну из пяти популярных IT-специализаций и начать работать по профессии уже через 6 месяцев.", Срок обучения: 12 месяцев," Старт: 25 февраля,  каждые 2 недели"
 ИТ-Инженер Мастер," Это двухгодичная программа обучения для тех, кому необходимы твердые знания и гарантированный результат. Вы получите базовые знания, сделаете осознанный выбор специализации, получите практические навыки, а в итоге найдете работу.", Срок обучения: 12 месяцев," Старт: 25 февраля,  каждые 2 недели"
 ИТ-Инженер Про," Это трехгодичная программа обучения для тех, кто решил стать профессионалом с твердыми знаниями. Вы изучите технологическую базу, сделаете осознанный выбор специализации, освоите практические навыки, прокачаетесь в выбранном направлении, а в итоге найдете работу.", Срок обучения: 12 месяцев," Старт: 25 февраля,  каждые 2 недели"
 Инженер-программист," Это 12-месячная программа обучения, во время которой вы сделаете осознанный выбор специализации, получите базовые знания и прокачаетесь в них. Вы сможете освоить одну из пяти популярных IT-специализаций и начать работать по профессии уже через 6 месяцев.", Срок обучения: 12 месяцев," Старт: 25 февраля,  каждые 2 недели"
 Инженер-программист Мастер," Это 24-месячная программа обучения, во время которой вы изучите основы программирования, основные концепции компьютерных наук, цифровые технологии, программное обеспечение, операционные системы, базы данных, системы аналитики, языки программирования и многое другое и прокачаетесь в них.", Срок обучения: 12 месяцев," Старт: 25 февраля,  каждые 2 недели"
 Инженер-программист Про," Это 36-месячная программа обучения, во время которой вы изучите программирование, основные концепции компьютерных наук, цифровые технологии, программное обеспечение, операционные системы, базы данных, системы аналитики, языки программирования и многое другое и прокачаетесь в них.", Срок обучения: 12 месяцев," Старт: 25 февраля,  каждые 2 недели"
 ИТ-инженер. Передовые технологии," Выберите одну из шести трендовых технологий и освойте новую профессию. Получите уникальные знания, которые помогут стать востребованным и высокооплачиваемым IT-специалистом. Вы научитесь разрабатывать искусственный интеллект, программировать приложения на блокчейне, узнаете, как самостоятельно разработать и запустить сеть умных устройств или создать бизнес-модель с помощью машинного обучения.", Срок обучения: 12 месяцев," Старт: 25 февраля,  каждые 2 недели"
 ИТ-инженер Web 3.0," Получите востребованную профессию будущего. Вы узнаете, в чем главные отличия трех поколений интернета и как работают ключевые технологии Web 3.0: блокчейн и метавселенные. Научитесь программировать приложения, игры и платформы на блокчейне. Поймете, как создавать концепции, дизайн и механики для 3D-миров. Сможете трудоустроиться через 9 месяцев или открыть свое дело и зарабатывать от $1 000 в день.", Срок обучения: 12 месяцев," Старт: 25 февраля,  каждые 2 недели"
 ИТ-инженер Блокчейн," Получите новую ИТ-профессию. Вы разберетесь, как работает технология блокчейн и криптовалюты. Поймете, как разработать приложение, игру или платформу на блокчейне, кто такие майнеры и как можно зарабатывать благодаря NFT-проектам от $1 000 в день. Уже через 9 месяцев сможете найти работу в этой сфере или запустить собственный проект.", Срок обучения: 12 месяцев," Старт: 25 февраля,  каждые 2 недели"
 ИТ-инженер ИИ," Получите востребованную IT-профессию. Вы узнаете, как устроена технология искусственного интеллекта: как работает машинное обучение, что такое глубокое обучение и в чем особенность нейросетей. Сделаете первый шаг к самостоятельной разработке нейросети и работе в этой сфере. Сможете трудоустроиться через 9 месяцев или открыть свое дело и зарабатывать от $1 000 в день.", Срок обучения: 12 месяцев," Старт: 25 февраля,  каждые 2 недели"
