tema,zn_vix,types,rasr,title,info,dlit,price,silka,platform
Маркетинг,Junior,Профессия,есть, Профессия Менеджер маркетплейсов ," Вы с нуля освоите востребованную и перспективную профессию. Узнаете, как сотрудничать с начинающими селлерами и крупными компаниями. Получите реальный бюджет на продвижение и сможете на старте зарабатывать от 60 000 рублей, не выходя из дома. ", 6 месяцев обучения , 3 227  ₽/мес  ,https://skillbox.ru/course/profession-marketplace-manager/,Skillbox
Маркетинг,Junior,Профессия,есть, Профессия Таргетолог с нуля до PRO ," Вы научитесь запускать рекламу в соцсетях. Поймёте, как оптимизировать кампании, работать с парсерами и собирать аналитику по всем каналам. Попрактикуетесь в продвижении реального бизнеса c бюджетом от Skillbox и пополните портфолио рабочими кейсами. ", 12 месяцев обучения , 2 245  ₽/мес  ,https://skillbox.ru/course/profession-target/,Skillbox
Маркетинг,Junior,Профессия,есть, Профессия SEO-специалист с нуля до PRO ," Научитесь продвигать сайты в поисковой выдаче — в России и мире. Поймёте, как анализировать данные, повышать конверсию поискового трафика и управлять командой. Сможете работать на международном рынке. ", 12 месяцев обучения , 3 136  ₽/мес  ,https://skillbox.ru/course/seo-specialist-pro/,Skillbox
Маркетинг,Junior,Профессия,есть, Профессия Интернет-маркетолог ," Вы освоите полный комплекс услуг по интернет-продвижению. Станете профессиональным маркетологом, стратегом, аналитиком, контекстологом и таргетологом в одном лице. ", 12 месяцев обучения , 3 194  ₽/мес  ,https://skillbox.ru/course/profession-marketolog/,Skillbox
Маркетинг,Junior,Профессия,есть, Профессия SMM-специалист ," Вы с нуля освоите востребованную digital-профессию. Научитесь продвигать бренды в соцсетях, разрабатывать эффективную SMM-стратегию, создавать контент и запускать рекламу.Выберете путь карьерного развития, сможете устроиться в агентство или вести клиентов на фрилансе. ", 10 месяцев обучения , 2 581  ₽/мес  ,https://skillbox.ru/course/profession-smm-specialist/,Skillbox
Маркетинг,Junior,Профессия,есть, Профессия Event-менеджер ," Узнаете, как организовать мероприятие любого масштаба. Научитесь работать с командой, общаться с заказчиками и держать все процессы под контролем. Сможете работать в агентстве, брать заказы на фрилансе или начать свой бизнес в event-индустрии. ", 6 месяцев обучения , 2 568  ₽/мес  ,https://skillbox.ru/course/profession-eventmanager/,Skillbox
Маркетинг,Junior,Профессия,есть, Профессия Бренд-менеджер ," Вы научитесь эффективно работать с имиджевыми и бизнес-показателями бренда. Поймёте, как превращать покупателей в амбассадоров продукта, а торговые марки — в узнаваемые бренды. Получите престижную профессию и сможете начать карьеру с нуля. ", 4 месяца обучения , 3 136  ₽/мес  ,https://skillbox.ru/course/profession-brand-manager/,Skillbox
Маркетинг,Junior,Профессия,есть, Профессия Копирайтер с нуля до PRO ," За 10 месяцев вы с нуля научитесь писать тексты любых форматов и создавать захватывающие истории. Поймёте, как продвигать контент в соцсетях и решать задачи бизнеса с помощью текста. Раскроете свой потенциал, сможете устроиться в штат компании или выйти на фриланс. ", 10 месяцев обучения , 2 265  ₽/мес  ,https://skillbox.ru/course/profession-copywriter-zero-pro/,Skillbox
Маркетинг,Junior,Профессия,есть, Профессия Редактор с нуля до PRO ," Вы научитесь решать задачи любого бизнеса с помощью текстов. Узнаете, как запускать онлайн-издания, создавать контент и оценивать его эффективность. Сможете работать редактором в штате или на фрилансе, в офисе или удалённо. ", 12 месяцев обучения , 3 900  ₽/мес  ,https://skillbox.ru/course/profession-editor/,Skillbox
Маркетинг,Junior,Профессия,есть, Профессия PR-менеджер , Вы научитесь формировать положительный имидж продукта и выстраивать бренд-коммуникации с помощью блогеров и СМИ. Спланируете PR-кампанию для «МегаФона» или своего бренда.Сможете освоить профессию без специальных знаний и через 6 месяцев устроиться на работу в компанию или крупное PR-агентство. , 6 месяцев обучения , 2 226  ₽/мес  ,https://skillbox.ru/course/profession-pr-manager/,Skillbox
